,Dates,States,Titles,Comments,Ratings
143,2021-11-19,,It just became so bad,"I used to think this was the best food delivery app out, but it is now the worst.",1
144,2021-11-19,,So much delay in delivering the order,They keep on combining orders and take too much time to deliver the order. The app is becoming worse as it doesn’t show accurate status of the order. Very bad service.,1
145,2021-11-19,NSW,"Had our order cancelled after an hour, no explaination given.","Terrible service, we ordered and could see progress on app, waited over an hour, could see that the order was ready for collection, then our order was cancelled! No communication.",1
146,2021-11-18,NSW,My packs are coming opened,"My husband orders thru his app and ive noticed that there would be stickers to close the bags which have the containers inside. The stickers would be spaced apart enough so that it cant be opened unless it is ript. We've probably ordered 5x and 3 of those the centre stickers were ript enough to stick a hand in and pull chips or whatnot out. I'm genuinely disgusted as these restaurants are no more than 5-10mins away, and theres no other explanation for this.",1
147,2021-11-16,NSW,Do not order from Uber Eats,"I just had the most outrageous experience with Uber Eats.  They let me place an order with a restaurant and did not advise me that ""no delivery partners"" are available.  I keept waiting and waiting for my order.  They kept pushing back the delivery time without saying anything.  I finally called the restaurant, which told me that the food had been ready for 15 minutes and no driver had come to pick it up.  I finally connected with someone in a ""chat"" in the Uber Eats app, and they flat out lied to me that a delivery partner had been found and w...",1
148,2021-11-16,NSW,Terrible. Will never use again.,"I thought I was lucky enough to get a gift certificate for Uber Eats. The first time the order came very late-over an hour and a half and it was ice cold. The second time, it never arrived even though the delivery info said it did. Very disappointing and I will never order again from here.",1
149,2021-11-15,,#pickle promo coupon got me in a pickle,"I received a promo coupon yesterday from uber eats app #pickle for 50% off groceries. So I added my order from Woolworths metro (too good to be true) Firstly, no where in the T's and Cs did it say Max. 25 items until you were in the cart and then after I placed the order, 1.5 hrs later close to the est. delivery time, uber eats cancelled the order, stating that it can't be delivered due to unexpected volume. Well, what a waste of time. There is no option of accepting a later time, or to be able to give feedback, nothing. Don't promote if you can't deliver what you say you can. I think they just saw that my discount was about $90 off the order and that was the reason they cancelled it.",1
150,2021-11-15,VIC,I used to love Uber eats,"Uber eats has left me waiting over 2.5 hours for a meal. When issues like this happened in previous years, there would always be efficient and friendly support. This time, I tried four time to contact someone and they told me they couldn’t help me. My hot meal was ice cold, but I’m less annoyed at that then I am by the poor customer service. I guess it’s finally time to move to Deliveroo.",1
151,2021-11-14,NSW,New slogan for Uber - never get your food.,Today is the day I stop using uber eats.,1
152,2021-11-14,,Will NEVER EVER use UBER EATS,"Placed an order at a local pizza place, waited well over an hour and then checked status online only to be informed that it had been delivered by driver- [Name Removed].  Interesting in that we never received the order and upon ring our pizza place they confirmed our order was collected and it was quite common for orders to go missing and not  be delivered.  Pathetic!!!!!!",1
153,2021-11-14,,Only gave 1 star as you cannot give 0,Ordered food. Wrong food delivered. Went to store in person to swap wrong meal and to get correct food. Sent message to Uber who offered refund and that it should be in my wallet in 5 to 10 days. This was repeated in at least 3 other messages to me. Finally after 23 days I was told they would not refund and that I got the right food. Apparently a chicken and avocado salad with lime mayonaise on the side looks like a toasted panini. How stupid I am to think a salad would be in a bowl not on bread. Must have also put the mayo on the salad before they toasted it not as a side as per order.,1
154,2021-11-14,,"What a joke. No customer service, no accountability. This company will be dead in 12 months. Absolute joke.","The food that arrived was 1/3rd of the order. It was a joke, and not the first time this has happened. they should really learn how to operate a business.",1
155,2021-11-13,,Uber Eats Al Aseel Castle Hill.,"Ordered from Al Aseel Castle Hill at 8:00, the restaurant cancelled  at 9:30, one and a half hours after accepting the order. Uber Eats phoney customer service offered a $5.00 credit that somehow never actually gets credited to my account. If you want food delivered do not use Uber Eats",1
156,2021-11-13,QLD,What a waste of money,I was looking forward to eating my meals. Had to reheat my meal in the microwave. Come on Uber Eats get some heat proof bags. Meal was absolutely ruined. I wont be get Uber Eats again.,1
157,2021-11-13,VIC,Expensive and slow,The price and speed of delivery has been increasing slowly over the last couple of years. Both the taxi service and that the food delivery service have now become the dinosaurs that they replaced a few years prior.,1
158,2021-11-13,,Honestly one of the worst platforms out there,"Ordered at just before 1pm, order got cancelled after 1 hour. Tried again after that around 2pm. Said they'd deliver after 3pm. Saw a driver was finally assigned after an hour and on the way, okay cool. Then 15 mins before it's supposed to arrive it goes back to ""preparing food"". Driver has disappeared. Honestly worst app ever. So unreliable, it's not a food delivery app if you're making people prepare half a day earlier.",1
159,2021-11-12,WA,One hour and 40 minutes for delivery,"One hour 30 minutes for delivery. All food cold. And to top it off, delivery guys knocks on door, when I have selected leave at door. Not only breach of Uber’s COVID policy set the dogs off. And they wonder why I was annoyed. Same with last order, so that’s deleting app and moving on.",1
160,2021-11-12,,Time issues,"I was really happy with this service, but in last 6 months it went down hill. Have to wait to the food for more than hour and half, even if the place is 3 mins drive from me. The food is delivered cold a lot of times. Last time for me using this service.",1
161,2021-11-12,VIC,Would give 0 stars if I could,"After waiting 90 minutes for an order from a restaurant five minutes down the road, I tried to use the chat function to find out what was going on. What a waste of time and money that was. The chat function is AI and it just asked me repeatedly if I’d like to cancel my order. After the third time, I selected yes and I was informed that the whole cost of the meal had been charged to me as compensation to the restaurant and delivery driver. Still no idea what happened with the food, but I can make an educated guess based on these other reviews that a driver was never assigned. In my opinion, businesses that offer a terrible (or in this case, no service) should wear the cost of mistakes, not the customer. App deleted, never to be used again.",1
162,2021-11-12,,Orders Are Always Wrong. Never Use.,Every-time I have ordered something the order has been wrong. Customer service is rude and dismissive. Shocking platform that needs to be held accountable for ripping customers off. DO NOT USE.,1
163,2021-11-11,QLD,Terrible!,"Placed an order with mc Donald’s in Park Ridge, order sat at being “Preparing” for an hour AFTER it’s latest ETA. Went to the help button and was told that I’ll be charged $48.50 from $56 for the restaurants “time wasted”. Went to live support to be told I wasn’t charged just the payment sits at pending for 5-10days so I will get my money back then. Woooow!!! Oh sorry!!! They offered me $5 on my Uber account, what a joke! My children fell asleep waiting for their dinner. I’ve since then deleted my uber EVERYTHINGS, DoorDash all day",1
164,2021-11-11,VIC,Slave driver for Ubereats,"Anyone thinking about doing any delivery for Ubereats? Well forget it, they pay you below minimum wage and treat you like rubbish (blocking you online access when there is tiny errors & make threats against you). Fake trip km, fake supplement pay, app gps is stupid, my phone gets really hot.You get paid $5 per delivery and $3 additional delivery, some order at Maccas can make you wait up to 1 hour. Just get a normal job",1
165,2021-11-10,QLD,Will not use UberEATS again,"Waited for five hours for food to arrive, horrible customer service who refused to cancel the order till midnight. Have uninstalled the app, I won't be using the service again",1
166,2021-11-09,VIC,Takes too long expensive for service,"Unless you pay extra for a priority service you end up waiting longer due to delivery drivers having an extra stop. We won’t bother the next time, everything is close enough that we can pick it up ourselves. Fuel costs much less than the delivery fee and at least our food will still be hot!",1
167,2021-11-08,,They just keep adding more fees for a longer delivery?? Makes no sense,"80% of the time the delivery takes extremely long unless your paying $3 for priority, or some of the food is missing. I don’t think I’ll ever use Uber again. They just keep money grabbing with all these silly fees, service fee and a delivery fee? Isn’t the service the delivery? End up paying $10 on all the fees, would rather put an extra $10 petrol in my car, drive and pick it up myself.Seriously disappointing Uber, get your thing together. Maybe you should read some of these reviews and make some improvements.",1
168,2021-11-08,NSW,Never again,Uber eats has gotten so badConstantly waiting over a hour for cold foodHaving the audacity to charge extra so you dont have to wait longer for foodOver charging on food and deliveryCancelling orders an hour plus after orderingThe divers are usually rude and incompetentCant get through to customer service,1
169,2021-11-08,,Free delivery is a scam and false advertising,"Advertised free delivery but additional $4.50 added at checkout. Rip off false advertising. So again screw uber and their false advertising scamming baseless delivery process. Your change in business operation over the last year hasn't been overlooked, you lying scurvy dogs.",1
170,2021-11-08,NSW,Pretty much a joke now,"Inc accidentally went with uber eats this evening for a pizza instead of Deliveroo or Doordash. Exact same item, $5 more. Really disgusting at this point. They also have just about the worst customer service I've ever experienced. What a joke this company is now.",1
171,2021-11-07,VIC,I picked up my order after an hour of no action,Shame on you Uber Eats. App deleted ✌️,1
172,2021-11-07,,Like watching a kettle boil. Just waiting for my order to be cancelled again.,"Ordered around 10, 30 minutes later tried to contact support to cancel. Got no response I was 3rd in line then got a message saying sorry just reply to our email, waited again in line after 45 min was told driver was assigned then got a notification that it was cancelled. I feel worse for the person sitting in the store with my order waiting for a driver so late when. I couldn’t even contact them directly to say cancel it mate it’s way to late to be waiting for drivers now.",1
173,2021-11-07,NSW,Another order cancelled after 90 minutes,"We need an alternative to Uber they just keep cancelling and the third time this week. They tell you it will be there in 50 minutes, extend that to 60 minutes and then 75 and 90 minutes and then cancel.",1
174,2021-11-06,VIC,Why is Uber Eats taking payment from my wrong account???,I have my PayPal set up and my credit card as my preferred primary method of payment but Uber keeps taking it out of my bank account even though I'm selecting PayPal?? There is no money in this account and it is set up just for my PayPal deposits. Why is this happening?? I can't find anyone to contact for this issue!!! I don't understand why Uber is taking the funds out of my bank account when my credit card is set up as my preferred method of payment for PayPal!! So annoyed as my bank is charging me dishonor fees!!! Can someone please contact me about this!!,1
175,2021-11-06,,Slow deliveries to increase Uber profits,"Same as most ppl here. I waited 2 hours to get my food. (Restaurant is a 5 minute drive). Food was ready in good time but Uber delays allocating a driver until someone else orders going the same way… then you wait for that guys food to be cooked & then delivered. Then they drop your food off, cold & very very late. Complaints department is a joke, just total waste of time. I will be avoiding Uber eats going forward",1
176,2021-11-06,QLD,Never again!,We have eaten many times at the restaurant and know there standards! The restaurant is great.,1
177,2021-11-06,,"Expensive, late and Inedible","I placed and Uber Eats order cause I was working from home. The store was 10km away. Obviously you pay a bit more for it to be delivered to you, I also paid for priority and a 20% tip. It was estimated to take an hour, fair enough. Two hours passed and no one took up the order. Eventually someone picked it up and brought it to me home. By then the food was cold and inedible. If you cannot deliver on a service within a timeframe then you should just refund rather than have the driver deliver a crappy meal.",1
178,2021-11-06,TAS,Absolutely poor service,Had legs and breasts deliver last night the driver left it at the door did knock 1 hour later the meal was found cold and due to chicken left that long outside cause my son to vomit. Won’t ever use them again nor leg and breast who said nobody else got sick. No because their meal wasn’t sitting outside for an hour.,1
179,2021-11-05,,Too expensive. Better to order directly from restaurant.,Ordered food from Lokka food truck. Extra $6 charged for each item and I paid total $24 extra. Should have ordered through the restaurant’s  web site. Will never use uber eats again.,1
180,2021-11-05,,Gotten too big for their boots,"Long time user, but now refunds for poor food have been met with resistance, drivers make multiple stops and oddly “aren’t available” at peak times without a surcharge. I’m done.",1
181,2021-11-04,,"Takes your money, doesn’t deliver. 2 hours late cancel","Uber is completely lost it’s value to consumers.The last 4 times I have ordered Uber eats, they take the order, take your money, push the time out. Then cancel the order 2 hours later then you have to wait 10 days for a refund.No customer service, you can’t contact them. Absolute terrible company.",1
182,2021-11-04,,Absolutely a rip off,You pay for a service they don't provide.Terms and conditions basically tell you to pay and then get what you're given and suck it up.Zero customer service. The drivers are the scum of the earth.,1
183,2021-11-04,NSW,Order placed 6:45 - cold food received 8:15,Really upsetting and disappointing.,1
184,2021-11-02,VIC,Worst service ever,"Waited 75 mins for food order got cancelled, waited 45 mins on hold system cancelled the hold as they took to long. Crap and should stop operating until ACCC investigated there false advertising",1
185,2021-11-02,VIC,Disgusting and inedible food,I ordered Mac Donald’s through Uber eats the delivery time kept blowing out so tried to cancel and was told the food had been made and that they were waiting for a driver  I could cancel but would be charged still . The driver arrived at the store 20-30 minutes later then to us the food was absolutely disgusting not even fit for the dog and the whole lot went in the bin $60 worth . Do not use there service it’s a ripoff and the quality is terrible,1
186,2021-11-01,,Wait times too long,"Food is always cold by the time it arrives, wait times are usually an hour, shops are waiting for drivers to arrive. Worst service ever. Doing multiple pick ups and deliveries is frustrating.",1
187,2021-11-01,NSW,They have never got any of my orders correct,They said they would refund me on items I did not receive yet they never did refund me and it’s impossible to get hold of them!!! There has not been 1 order that has ever been correct!! Then I couldn’t get into my Uber account as it would accept my password and when they emailed me to reset my password and when I went into the account my orders were gone from there,1
188,2021-10-31,NSW,Terrible service,I just had by UberEats order cancelled after waiting for two hours.  This is not the first time - no apology given - no notice given (it just says the order is delivered and charges $0)  - no care or courtesy - am now deleting the app - clearly they do not need my business!,1
189,2021-10-31,,Never again.,"They accept orders when restaurant is closing so the order never arrives. This has happened already a few times, specially on sunday evenings when there are no options. Bye uber eats..",1
190,2021-10-31,,Soul origin salads.,Unfortunately I was missing main ingredients from both salads. I would advise to not order in late afternoon.Only pasta and chicken on one. No walnuts or feta on the other. Very disappointed.,1
191,2021-10-30,,"Worst company, worst staff and worst work ethics","I first registered myself to drive for Uber eats in 2017 and then stopped working in this business after 6 months of starting. In 2020, due to COVID I thought I will drive for Uber eats again and earn some money while everyone is locked inside. I have been trying to reactivate an already existing account from the last 10 months and even till today I am struggling. Their staff doesn’t know half of things, their app doesn’t help you much even in their help tab. Worst customer service I have ever experienced in my life has been with just activatin...",1
192,2021-10-30,,Delivered in reasonable time - food still hot!,"Placed the order and it was delivered in under 30 minutes.  Food was unmolested, bag unopened and I was kept informed of the package progress from collection to delivery.  This is a service worth paying for.",5
193,2021-10-30,VIC,DONT USE UBER EATS!,"I ordered food from Papparich highpoint order number 1501B today about 11.37am This is the third time in a row Uber eats got my order incorrect.Delivery took 30 minutes longer than expected.For some reason a my 2 drinks were delivered with a straw placed in one of the drinks. My Mango Freezy appeared to not be full to the brim like it normally is yet the second straw provided was in the plastic bag with the food? Why is one straw in one drink but the other straw in the bag?The bag of chips were missing and the food was cold.Last time im ordering through Uber Eats, I found their rival MEnulog is better because you can also call and speak to an actual consultant to advise of any isues with their order.",1
194,2021-10-29,,Shut this garbage service down,"What is the point of offering food delivery, if there are either never any drivers available, or when there are, they rack the food and never deliver it. Just cook your own dinner.",1
195,2021-10-28,,1.5hrs later we receive an email,"After placing our order and waiting a pitifully long 1.5hrs we receive an email, not even a phone call saying that our order didn’t go as planned and they are sending a refund which who knows how long will take.",1
196,2021-10-28,NSW,"Don’t bother ordering if, you’re hungry!","Ordered last night,  Mums Kitchen at Umina.  At the 12th hour, which was an hour and 15 minute wait,  we get a message cancelling our order!  Yes we got a refund but,  what a waste of time!  Big time “F” for failure!",1
197,2021-10-27,SA,My order was cancelled,My 1st ever Uber Eats meal was cancelled past the delivery time and I’m still hungry ! I wasn’t charged but that’s not the point… I ordered my dinner which I was looking forward to,1
198,2021-10-27,ACT,Never again will I order,"I ordered my first meal but needed to add my address. I made a mistake and added the pickup address instead of the delivery address. I called the uber delivery guy to correct this but he advised that I have to go through Uber eats. I call the restaurant to say I will pick it up instead. They told me they will only give it to the Uber eats collection guy and not me. If I needed to change the address, I must do it online. I attempted to change it online, but it was too late. I had a choice of cancelling or keeping the same address. I cancelled. I...",1
199,2021-10-27,,terrible,"Ordered a meal from a nearby restaurant. Food was cooked and ready to go within 30 minutes. The delivery driver waa waiting another restaurant for another order to be ready prior to picking up mine, causing my meal to sit there and get cold for 30 minutes. How does this company stay afloat with these processes!? I’ll stick to picking up my order going forward.",1
200,2021-10-26,VIC,drivers stealing food i have paid for and ubereats letting them get away with it,no phone number to contact when food doesn't arrive - restaurant tells us to contact ubereats but they are not contactable. we are left with only half our order - 2 people going hungry and no one wants to fix it,1
201,2021-10-26,VIC,Scammers,They charge an exorbitant service fee in addition to delivery fee. Delivery is the service you're providing! This is a ridiculous scam that's taking advantage of the pandemic and people's need to order in the lockdown.,1
202,2021-10-25,,Worst invention of app,"Not once but multiple times I have had the worst and traumatic experience in my life because of Uber. Sometimes it was driver being offensive, rude many many times, made me feel unsafe. They were the traumatic event of my entire life which wouldn’t have happened if I hadn’t used Uber. On the other hand Uber eats, worst customer service ever, they talk to you like they are paying you to order food, pathetic explanation of things, numerous unsolved or unsatisfied solution. Worst, traumatic and crap experience ever. Please do not use this crap.",1
203,2021-10-24,,Overcharged then ignored,"Used promotion, verified it was applied before checkout then got charged full amount and the promo code was deleted from account history so I had no proof of using it. When contacted business was told promotion was revoked and I was charged full amount without my approval.",1
204,2021-10-24,QLD,Worst delivery service ever!,"Food always takes over an hour, food is usually cold by the time it arrives. They just do not care they’re too big for their boots now. Drivers are usually rude too and threaten to drive off if you try to communicate they’re in the wrong place! Use another more boutique delivery service in your area if you need to but if you can go directly to the shop do that instead.",1
205,2021-10-24,QLD,Do yourself a favour and remove the app,Uber eats is a disgrace first they inflate the food prices then charge a service fee as well as delivery fee then they do deliveries on the way and take forever so the food is cold or not what you ordered I have been able to get a full refund twice after finding the confusing complaints procedure I’m over it and will never use it again,1
206,2021-10-24,,2 hours after ordering they cancelled,I waited almost 2 hours. They kept changing the delivery time and then cancelled my order. This isn’t the first time this has happened. Now my family are starving. UberEats service is worse than Telstra and that’s an achievement.,1
207,2021-10-23,,Uber eats has gone completely downhill,"Uber eats has repeatedly cancelled our orders after a long wait, wait time for restaurants is repeatedly over two hours wait. Cold, inedible food, no follow up from customer service.",1
208,2021-10-23,VIC,Going to order food? Look for another service,"Made an order and get it cancelled after one hour. I am starving. Don't do the same and order with other service, there are plenty to choose from these days.",1
209,2021-10-23,,If I could do a minus star I would!!!,"If I could do a minus star I would. Terrible terrible service. Food has never arrived hot. Order every single time is wrong, I am officially never using this terrible service ever again!",1
210,2021-10-23,,Absolutely Underwhelmed,"Placed our order, gave the delivery address and paid. Within 5 minutes I went back in to add that I would meet the driver, when the system then stated that delivery was no longer available. I cancelled this order and then ordered elsewhere. I haven't received a refund for my first order nor will Uber Eats return my communication to discuss. Would not recommend at all to anyone and they won't be getting our business in future.",1
211,2021-10-23,VIC,Not impressed,"I can see a guy accepted my order and on the way to pick up, after 2 mins. he disappeared. My food ended up being prepared forever and no one else takes that order.",1
212,2021-10-23,VIC,Waited for 2 hrs,High charges and delivery compared to Doordash. Much slower service. Promotional code sent to email not working. Waited 2 hrs for food without being notified. Order got cancelled once after waiting for hours. Not recommended!!!!,1
213,2021-10-22,QLD,The worst,"80% of the time (being as generous as I can here) the order is wrong, missing items or I have even driven down to the restaurant after waiting for an hour to find the driver sitting there EATING MY ORDER … Avoid",1
214,2021-10-22,,Never again,"Ordered food from a restaurant that was only 10 minutes away since i was in isolation and waited for over an hour, before they told us it could not be delivered. crap them",1
